,Library_Occupancy,Students_Traveling,Students_In_Library,Students_In_Lecture,Students_Off_Campus
77,"{'Arts and Social Sciences': 499, 'Chemistry': 61, 'Education': 0, 'Medical': 57, 'Physics': 58, ""Queen's Building"": 152, 'Wills Memorial': 442, 'Beacon House': 366, 'Brambles and Hawthorns': 9, 'Grace Reeves': 16, 'Senate House': 483}",0,2143,681,1176
78,"{'Arts and Social Sciences': 499, 'Chemistry': 61, 'Education': 0, 'Medical': 57, 'Physics': 58, ""Queen's Building"": 152, 'Wills Memorial': 442, 'Beacon House': 366, 'Brambles and Hawthorns': 9, 'Grace Reeves': 16, 'Senate House': 483}",0,2143,681,1176
79,"{'Arts and Social Sciences': 499, 'Chemistry': 61, 'Education': 0, 'Medical': 57, 'Physics': 58, ""Queen's Building"": 152, 'Wills Memorial': 442, 'Beacon House': 366, 'Brambles and Hawthorns': 9, 'Grace Reeves': 16, 'Senate House': 483}",0,2143,681,1176
80,"{'Arts and Social Sciences': 470, 'Chemistry': 61, 'Education': 0, 'Medical': 54, 'Physics': 54, ""Queen's Building"": 152, 'Wills Memorial': 433, 'Beacon House': 356, 'Brambles and Hawthorns': 4, 'Grace Reeves': 12, 'Senate House': 443}",399,2039,521,1041
81,"{'Arts and Social Sciences': 470, 'Chemistry': 61, 'Education': 0, 'Medical': 54, 'Physics': 54, ""Queen's Building"": 152, 'Wills Memorial': 434, 'Beacon House': 356, 'Brambles and Hawthorns': 4, 'Grace Reeves': 12, 'Senate House': 459}",0,2056,702,1242
82,"{'Arts and Social Sciences': 470, 'Chemistry': 61, 'Education': 0, 'Medical': 54, 'Physics': 54, ""Queen's Building"": 152, 'Wills Memorial': 434, 'Beacon House': 356, 'Brambles and Hawthorns': 4, 'Grace Reeves': 12, 'Senate House': 459}",0,2056,702,1242
83,"{'Arts and Social Sciences': 470, 'Chemistry': 61, 'Education': 0, 'Medical': 54, 'Physics': 54, ""Queen's Building"": 152, 'Wills Memorial': 434, 'Beacon House': 356, 'Brambles and Hawthorns': 4, 'Grace Reeves': 12, 'Senate House': 459}",0,2056,702,1242
84,"{'Arts and Social Sciences': 475, 'Chemistry': 63, 'Education': 0, 'Medical': 48, 'Physics': 50, ""Queen's Building"": 151, 'Wills Memorial': 443, 'Beacon House': 366, 'Brambles and Hawthorns': 3, 'Grace Reeves': 4, 'Senate House': 430}",354,2033,503,1110
85,"{'Arts and Social Sciences': 475, 'Chemistry': 63, 'Education': 0, 'Medical': 48, 'Physics': 50, ""Queen's Building"": 151, 'Wills Memorial': 443, 'Beacon House': 366, 'Brambles and Hawthorns': 3, 'Grace Reeves': 4, 'Senate House': 456}",0,2059,686,1255
86,"{'Arts and Social Sciences': 475, 'Chemistry': 63, 'Education': 0, 'Medical': 48, 'Physics': 50, ""Queen's Building"": 151, 'Wills Memorial': 443, 'Beacon House': 366, 'Brambles and Hawthorns': 3, 'Grace Reeves': 4, 'Senate House': 456}",0,2059,686,1255
